delegate,voting_power
0x2be52b4429dbdfefad766ddddd16ac0777476edb,5887.6725733200865
0xa734439d26ce4dbf43ed7eb364ec409d949bb369,5879.24492860738
0xa4c4566f5d3936a636fd75e426c07260e89a84c8,5856.03268409
0xaef766ce8047a11cbb0f8264dea7559fd0b48444,5845.623229089959
0x87950049c98115095496c28eeb8959d9a4ea9752,5839.295313957098
0x6a5d5af0e266a24648a9d7e8d388eaec7abd8433,5812.2957489307655
0x303a4aee35bfbe33ac95722d5c38f39d107e34a3,5704.0
0xdf91e8eb4208ab196bdcf2dcf4c669951528e6d1,5694.217597389333
0x5c1d15dc3da43a18e60c2ddb87b3466097855530,5680.0
0xf3fe8c6c75be4afb2f8200fc77339abe4d7cff33,5628.751542485594
0xff47692e1b8903968677eb1dc5ae961cfad4a490,5622.6954858030285
0x9627cc3d60df611cb826405fc6cd739a6573476a,5606.68356977266
0xd71e45d99bec5e34775d2b60918965c05c0e9dcd,5554.938
0x162ad50b8fedaa690f70642fb697b05fc4e6328f,5549.2945975498205
0x64f8e38e19c1b6992969dcd5769c149951018af1,5546.320341034515
0x8d7cae7b229c6a201456cf2508aa8d2fa47c8368,5505.173553801318
0xc4f91cdd498a30f8ed1dea3883cba314a7a2a022,5435.324420167588
0x168f87fbfe36b84e44b9d06278b2aa1cc73d7400,5421.888039217152
0x76110a4af71ed13489e55f4110ee7b9aec6d34d9,5417.104090461974
0xd2d117e6dbbfdd74d6b865ff859a4611bd29f3ed,5410.479823750577
0xf32dd1bd55bd14d929218499a2e7d106f72f79c7,5406.738399634313
0xde3ba1b41e6c612a3ca3213b84bdaf598dffdb9b,5379.808639970298
0x6271add46dcbb4b4ef5b32f18704bdd716bd9be9,5377.198700065617
0x23b4980eeb72cfd8d07f734b169f963e5b2d8de4,5359.306748486004
0x9881565cd25dac0174f3f5706842d7041999bf08,5353.881369870875
0x583d37f70cce55bf9967f63c73e9e96748b31d36,5349.288287490044
0xd91c8fe4ce51e400cee8a4ad49b774e7f2668200,5342.2541331560515
0x3e11266d586ebcce97aa9c4b7b540429780cff9c,5322.925319678561
0xebd5f0763d46a9e9f9c82404b6ad3ee0788fd662,5318.329361361706
0x606a25f2ef84f72bccce430f66812c77f5d40534,5265.406383529795
0x80b5da500b832ae5fca7514079375cc70ddbd20e,5263.952500331986
0xbf4c796931727fce4b42e8a7f1b284681a0d5a7c,5251.069758841574
0xc1bdd1e725149a533c1d56636b93ff18140930e4,5239.633075024992
0xf00408ddcaf624129cc0d08aa122a7abe1f2ef31,5239.1279127626285
0xcb603263a79db06d20e06b1023098e7faa30930b,5238.146674319127
0x5f23925b051de00341bdbcbb6b019a708ec9a2ff,5221.201424947238
0xfabbdfc4d456b53b0118e3843cfd4aea7c228ae3,5216.371259375401
0x88f3b61283fea9eedf7f5d24d22c42e3a953d938,5189.623118792911
0xac9161439fa30e646dead6a11e23371f97eab067,5188.306574922609
0xb36504f950615e543919fe4a5a2a7a2719ca80bb,5183.36081547
0x60203b2d05f84baf615095596c4353ff11d2a407,5150.777322121842
0xfcdd256267ade068babfb94f526a47aadf143a55,5143.832481533476
0x1ae3d567efa78eb59a24e05ec3391c701d5a17eb,5136.17487750227
0x147e0ddab76d238324fd16c0b12fa114bb4bce26,5108.918303818123
0xeb4351d692619ba5d00febefeecdc38c1a26600c,5091.211552300588
0x1ba2a537a771aa4eac2f18427716557e4e744864,5090.267620838956
